Group,MortRate
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Mammal,0.31
Reptile,0.31
Reptile,0.31
Bird,0.3
Bird,0.3
Bird,0.3
Bird,0.3
Bird,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Mammal,0.3
Reptile,0.3
Amphib,0.3
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Bird,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Mammal,0.29
Reptile,0.29
Reptile,0.29
Amphib,0.29
Bird,0.28
Bird,0.28
Bird,0.28
Bird,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Mammal,0.28
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Bird,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Mammal,0.27
Reptile,0.27
Bird,0.26
Bird,0.26
Bird,0.26
Bird,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Mammal,0.26
Reptile,0.26
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Bird,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Mammal,0.25
Reptile,0.25
Reptile,0.25
Reptile,0.25
Reptile,0.25
Reptile,0.25
Bird,0.24
Bird,0.24
Bird,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Mammal,0.24
Reptile,0.24
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Bird,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Mammal,0.23
Bird,0.22
Bird,0.22
Bird,0.22
Bird,0.22
Bird,0.22
Bird,0.22
Bird,0.22
Bird,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Mammal,0.22
Bird,0.21
Bird,0.21
Bird,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Mammal,0.21
Reptile,0.21
Amphib,0.21
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Bird,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Mammal,0.2
Reptile,0.2
Bird,0.19
Bird,0.19
Bird,0.19
Bird,0.19
Bird,0.19
Bird,0.19
Bird,0.19
Bird,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Mammal,0.19
Bird,0.18
Bird,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Mammal,0.18
Reptile,0.18
Reptile,0.18
Reptile,0.18
Reptile,0.18
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Bird,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Mammal,0.17
Bird,0.16
Bird,0.16
Bird,0.16
Bird,0.16
Mammal,0.16
Mammal,0.16
Mammal,0.16
Mammal,0.16
Mammal,0.16
Mammal,0.16
Mammal,0.16
Reptile,0.16
Bird,0.15
Bird,0.15
Bird,0.15
Bird,0.15
Bird,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Mammal,0.15
Reptile,0.15
Amphib,0.15
Amphib,0.15
Bird,0.14
Bird,0.14
Bird,0.14
Bird,0.14
Bird,0.14
Bird,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Mammal,0.14
Reptile,0.14
Reptile,0.14
Bird,0.13
Bird,0.13
Bird,0.13
Bird,0.13
Bird,0.13
Bird,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Mammal,0.13
Reptile,0.13
Amphib,0.13
Bird,0.12
Bird,0.12
Bird,0.12
Bird,0.12
Mammal,0.12
Mammal,0.12
Mammal,0.12
Mammal,0.12
Mammal,0.12
Mammal,0.12
Mammal,0.12
Reptile,0.12
Reptile,0.12
Reptile,0.12
Amphib,0.12
Bird,0.11
Bird,0.11
Bird,0.11
