Group,MortRate
Mammal,0.46
Mammal,0.47
Mammal,0.18
Mammal,0.17
Mammal,0.36
Mammal,0.67
Mammal,0.24
Mammal,0.24
Mammal,0.10
Mammal,0.32
Mammal,0.34
Mammal,0.43
Mammal,0.83
Mammal,0.50
Mammal,0.13
Mammal,0.22
Mammal,0.59
Mammal,0.32
Mammal,0.37
Mammal,0.51
Mammal,0.22
Mammal,0.75
Mammal,0.23
Mammal,0.47
Mammal,0.34
Mammal,0.28
Mammal,0.09
Mammal,0.38
Mammal,0.34
Mammal,0.69
Mammal,0.26
Mammal,0.44
Mammal,0.18
Mammal,0.02
Mammal,0.11
Mammal,0.26
Mammal,0.57
Mammal,0.58
Mammal,0.69
Mammal,0.60
Mammal,0.80
Mammal,0.31
Mammal,0.74
Mammal,0.58
Mammal,0.19
Mammal,0.22
Mammal,0.84
Mammal,0.21
Mammal,0.20
Mammal,0.17
Mammal,0.04
Mammal,0.33
Mammal,0.60
Mammal,0.33
Mammal,0.17
Mammal,0.51
Mammal,0.60
Mammal,0.08
Mammal,0.71
Mammal,0.33
Mammal,0.19
Mammal,0.47
Mammal,0.32
Mammal,0.18
Mammal,0.34
Mammal,0.60
Mammal,0.64
Mammal,0.33
Mammal,0.41
Mammal,0.19
Mammal,0.31
Mammal,0.43
Mammal,0.34
Mammal,0.56
Mammal,0.20
Mammal,0.28
Mammal,0.65
Mammal,0.18
Mammal,0.07
Mammal,0.10
Mammal,0.29
Mammal,0.20
Mammal,0.80
Mammal,0.63
Mammal,0.19
Mammal,0.51
Mammal,0.24
Mammal,0.10
Mammal,0.34
Mammal,0.21
Mammal,0.11
Mammal,0.23
Mammal,0.46
Mammal,0.21
Mammal,0.12
Mammal,0.48
Mammal,0.25
Mammal,0.29
Mammal,0.33
Mammal,0.65
Mammal,0.70
Mammal,0.70
Mammal,0.06
Mammal,0.39
Mammal,0.28
Mammal,0.23
Mammal,0.50
Mammal,0.29
Mammal,0.36
Mammal,0.39
Mammal,0.33
Mammal,0.07
Mammal,0.28
Mammal,0.72
Mammal,0.57
Mammal,0.31
Mammal,0.65
Mammal,0.05
Mammal,0.06
Mammal,0.06
Mammal,0.43
Mammal,0.24
Mammal,0.12
Mammal,0.25
Mammal,0.57
Mammal,0.14
Mammal,0.15
Mammal,0.67
Mammal,0.33
Mammal,0.33
Mammal,0.33
Mammal,0.75
Mammal,0.20
Mammal,0.40
Mammal,0.20
Mammal,0.43
Mammal,0.71
Mammal,0.78
Mammal,0.56
Mammal,0.30
Mammal,0.30
Mammal,0.30
Mammal,0.45
Mammal,0.50
Mammal,0.50
Mammal,0.15
Mammal,0.50
Mammal,0.71
Mammal,0.21
Mammal,0.67
Mammal,0.40
Mammal,0.80
Mammal,0.27
Mammal,0.69
Mammal,0.19
Mammal,0.94
Mammal,0.35
Mammal,0.11
Mammal,0.68
Mammal,0.05
Mammal,0.25
Mammal,0.43
Mammal,0.71
Mammal,0.52
Mammal,0.33
Mammal,0.64
