Age,MortRate
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Adult,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Juvenile,0.5
Adult,0.51
Adult,0.51
Adult,0.51
Adult,0.51
Adult,0.51
Adult,0.51
Adult,0.51
Adult,0.51
Juvenile,0.51
Juvenile,0.51
Juvenile,0.51
Juvenile,0.51
Juvenile,0.51
Adult,0.52
Adult,0.52
Adult,0.52
Juvenile,0.52
Juvenile,0.52
Adult,0.53
Adult,0.53
Adult,0.53
Adult,0.53
Adult,0.53
Juvenile,0.53
Adult,0.54
Adult,0.54
Adult,0.54
Adult,0.54
Adult,0.54
Juvenile,0.54
Juvenile,0.54
Juvenile,0.54
Juvenile,0.54
Juvenile,0.54
Adult,0.55
Adult,0.55
Adult,0.55
Juvenile,0.55
Juvenile,0.55
Juvenile,0.55
Adult,0.56
Adult,0.56
Adult,0.56
Adult,0.56
Adult,0.56
Adult,0.56
Adult,0.56
Adult,0.56
Juvenile,0.56
Juvenile,0.56
Juvenile,0.56
Juvenile,0.56
Adult,0.57
Adult,0.57
Adult,0.57
Adult,0.57
Adult,0.57
Adult,0.57
Adult,0.57
Juvenile,0.57
Juvenile,0.57
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Adult,0.58
Juvenile,0.58
Juvenile,0.58
Adult,0.59
Adult,0.59
Adult,0.59
Juvenile,0.59
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Adult,0.6
Juvenile,0.6
Juvenile,0.6
Adult,0.61
Juvenile,0.61
Juvenile,0.61
Adult,0.62
Adult,0.62
Juvenile,0.62
Juvenile,0.62
Adult,0.63
Adult,0.63
Adult,0.63
Adult,0.63
Adult,0.63
Adult,0.63
Juvenile,0.63
Juvenile,0.63
Juvenile,0.63
Adult,0.64
Adult,0.64
Adult,0.64
Juvenile,0.64
Adult,0.65
Adult,0.65
Adult,0.65
Adult,0.65
Adult,0.65
Juvenile,0.65
Juvenile,0.65
Juvenile,0.65
Juvenile,0.65
Juvenile,0.66
Adult,0.67
Adult,0.67
Adult,0.67
Adult,0.67
Adult,0.67
Adult,0.67
Juvenile,0.67
Juvenile,0.67
Juvenile,0.67
Juvenile,0.67
Juvenile,0.67
Juvenile,0.67
Juvenile,0.68
Adult,0.69
Adult,0.69
Adult,0.69
Adult,0.69
Adult,0.69
Juvenile,0.69
Juvenile,0.69
Juvenile,0.69
Juvenile,0.69
Juvenile,0.69
Adult,0.7
Adult,0.7
Adult,0.7
Juvenile,0.7
Adult,0.71
Adult,0.71
